Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
35	3.0	105	65	40	0
36	2.9722222222222223	107	62	45	0
37	3.0	111	65	46	0
35	2.942857142857143	103	66	37	0
36	2.9444444444444446	106	65	41	0
37	3.054054054054054	113	65	48	0
34	2.9705882352941178	101	62	39	0
37	3.054054054054054	113	67	45	1
34	3.0294117647058822	103	57	45	1
37	2.972972972972973	110	66	44	0
37	2.945945945945946	109	65	44	0
37	2.972972972972973	110	64	46	0
36	3.0277777777777777	109	63	46	0
34	3.0	102	58	44	0
38	2.973684210526316	113	65	48	0
37	3.027027027027027	112	69	43	0
36	3.0277777777777777	109	58	51	0
35	3.0285714285714285	106	55	51	0
36	3.0	108	70	38	0
33	3.0606060606060606	101	63	38	0
36	3.0277777777777777	109	62	47	0
34	2.9411764705882355	100	58	42	0
35	3.0	105	57	48	0
35	2.9714285714285715	104	55	49	0
37	3.0	111	71	40	0
38	3.026315789473684	115	72	43	0
35	3.0	105	63	42	0
34	3.0294117647058822	103	65	37	1
36	3.0	108	67	40	1
35	3.057142857142857	107	65	41	1
37	3.0	111	72	38	1
40	3.0	120	71	49	0
38	2.973684210526316	113	58	55	0
36	3.0	108	65	43	0
37	3.054054054054054	113	60	53	0
36	3.0	108	61	46	1
35	3.0285714285714285	106	60	46	0
36	3.0555555555555554	110	61	49	0
38	2.973684210526316	113	71	42	0
39	3.0256410256410255	118	67	51	0
34	2.911764705882353	99	55	44	0
35	3.0285714285714285	106	68	38	0
36	3.0555555555555554	110	65	42	3
37	3.027027027027027	112	70	42	0
37	3.027027027027027	112	68	44	0
36	3.0	108	62	46	0
35	2.9714285714285715	104	57	47	0
35	3.0285714285714285	106	64	42	0
37	3.0	111	60	51	0
36	2.9444444444444446	106	66	40	0
35	3.0285714285714285	106	59	47	0
36	3.0277777777777777	109	67	42	0
38	3.0	114	67	47	0
37	3.027027027027027	112	68	44	0
36	3.0555555555555554	110	70	40	0
35	3.0	105	63	39	3
35	2.9714285714285715	104	65	39	0
36	3.0	108	68	39	1
37	3.0	111	66	45	0
36	3.0	108	64	44	0
37	3.0	111	66	45	0
36	2.9444444444444446	106	63	43	0
36	3.0	108	67	41	0
34	3.0294117647058822	103	61	41	1
38	2.973684210526316	113	68	45	0
34	3.0	102	60	41	1
35	3.057142857142857	107	69	38	0
34	3.088235294117647	105	58	47	0
36	3.0	108	67	39	2
33	2.9393939393939394	97	58	39	0
36	3.0555555555555554	110	58	52	0
37	2.972972972972973	110	58	52	0
35	2.9714285714285715	104	63	41	0
36	3.0	108	59	49	0
36	2.9722222222222223	107	60	47	0
35	3.0285714285714285	106	73	33	0
33	3.0303030303030303	100	58	42	0
36	3.0	108	63	41	4
36	3.0	108	62	46	0
35	2.9714285714285715	104	62	42	0
36	3.0	108	61	47	0
34	3.0294117647058822	103	66	37	0
38	2.9473684210526314	112	63	49	0
35	3.0	105	61	44	0
36	2.9722222222222223	107	57	50	0
36	3.0277777777777777	109	65	44	0
34	3.0294117647058822	103	60	42	1
33	3.0	99	62	36	1
39	3.0	117	67	50	0
37	2.972972972972973	110	68	42	0
37	3.054054054054054	113	67	46	0
37	3.054054054054054	113	68	45	0
36	2.9722222222222223	107	60	47	0
36	3.0277777777777777	109	63	46	0
37	2.972972972972973	110	62	48	0
37	3.0	111	64	47	0
37	2.945945945945946	109	68	41	0
35	3.085714285714286	108	60	48	0
35	3.0	105	66	38	1
34	3.0	102	63	39	0
37	2.972972972972973	110	62	48	0
39	3.0	117	69	48	0
38	3.026315789473684	115	67	47	1
37	3.0	111	66	45	0
34	2.911764705882353	99	58	41	0
34	2.9705882352941178	101	59	40	2
35	3.0285714285714285	106	62	44	0
38	3.026315789473684	115	68	46	1
36	3.0	108	68	40	0
37	3.0	111	68	43	0
36	3.0277777777777777	109	63	46	0
35	3.0285714285714285	106	61	45	0
37	2.972972972972973	110	57	53	0
35	3.085714285714286	108	65	43	0
38	3.0526315789473686	116	69	47	0
36	2.9444444444444446	106	64	42	0
36	3.0277777777777777	109	64	45	0
35	3.0	105	67	38	0
35	3.0	105	59	46	0
36	3.0	108	66	42	0
38	3.0	114	69	44	1
37	2.972972972972973	110	68	42	0
33	3.0606060606060606	101	56	45	0
36	2.9722222222222223	107	62	45	0
36	3.0277777777777777	109	60	49	0
36	2.9444444444444446	106	59	47	0
36	3.0277777777777777	109	62	46	1
33	3.0303030303030303	100	61	39	0
34	2.9705882352941178	101	53	48	0
36	2.9444444444444446	106	56	50	0
38	3.0526315789473686	116	74	42	0
36	2.9722222222222223	107	58	49	0
36	3.111111111111111	112	69	43	0
35	2.9714285714285715	104	62	42	0
39	3.128205128205128	122	77	45	0
35	2.942857142857143	103	61	41	1
37	3.054054054054054	113	64	49	0
39	2.9743589743589745	116	64	52	0
35	2.9714285714285715	104	63	41	0
36	3.0	108	63	45	0
34	2.9705882352941178	101	60	40	1
35	3.0	105	63	42	0
37	3.027027027027027	112	64	48	0
37	2.972972972972973	110	64	46	0
35	3.085714285714286	108	64	44	0
37	3.0	111	68	42	1
39	3.051282051282051	119	67	52	0
35	3.0285714285714285	106	58	48	0
37	2.945945945945946	109	62	47	0
37	3.027027027027027	112	64	48	0
37	3.027027027027027	112	64	48	0
35	2.914285714285714	102	59	43	0
36	3.0277777777777777	109	61	48	0
36	3.0555555555555554	110	65	45	0
37	3.027027027027027	112	72	40	0
39	3.0	117	65	52	0
37	2.972972972972973	110	71	38	1
37	3.0	111	60	51	0
38	3.0526315789473686	116	65	51	0
38	2.9210526315789473	111	64	46	1
36	3.0833333333333335	111	63	48	0
39	2.923076923076923	114	69	45	0
39	2.923076923076923	114	68	46	0
33	3.0606060606060606	101	55	46	0
35	3.0	105	63	40	2
35	3.0285714285714285	106	67	39	0
35	2.9714285714285715	104	60	44	0
36	3.0277777777777777	109	65	44	0
36	2.9722222222222223	107	62	44	1
38	3.0789473684210527	117	65	52	0
38	3.0	114	73	41	0
40	3.025	121	71	50	0
34	3.0	102	60	42	0
33	3.0303030303030303	100	62	38	0
36	2.9722222222222223	107	65	42	0
37	3.0	111	73	38	0
37	2.972972972972973	110	62	47	1
37	3.0	111	69	42	0
37	2.945945945945946	109	65	44	0
34	3.0	102	56	45	1
34	3.0294117647058822	103	56	47	0
35	3.0285714285714285	106	63	43	0
34	3.0	102	63	39	0
35	2.9714285714285715	104	55	49	0
36	3.0277777777777777	109	64	45	0
37	3.027027027027027	112	67	45	0
35	3.0	105	60	45	0
36	2.9722222222222223	107	69	38	0
